,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
17,Israel,11586,0.0,116.0,0.0,1855.0,9615,181.0,1339.0,13.0,117339.0,13557.0
18,Sweden,10948,0.0,919.0,0.0,381.0,9648,859.0,1084.0,91.0,54700.0,5416.0
19,Ireland,10647,0.0,365.0,0.0,25.0,10257,194.0,2156.0,74.0,72000.0,14581.0
20,S. Korea,10564,27.0,222.0,5.0,7534.0,2808,55.0,206.0,4.0,514621.0,10038.0
21,India,10453,0.0,358.0,0.0,1181.0,8914,0.0,8.0,0.3,189111.0,137.0
22,Peru,9784,0.0,216.0,0.0,2642.0,6926,143.0,297.0,7.0,87116.0,2642.0
23,Japan,7618,0.0,143.0,0.0,799.0,6676,135.0,60.0,1.0,77381.0,612.0
24,Ecuador,7529,0.0,355.0,0.0,597.0,6577,121.0,427.0,20.0,24553.0,1392.0
25,Chile,7525,0.0,82.0,0.0,2367.0,5076,387.0,394.0,4.0,85035.0,4448.0
26,Poland,6934,0.0,245.0,0.0,487.0,6202,160.0,183.0,6.0,143630.0,3795.0
27,Romania,6633,0.0,331.0,0.0,914.0,5388,231.0,345.0,17.0,67204.0,3493.0
28,Norway,6603,0.0,134.0,0.0,32.0,6437,59.0,1218.0,25.0,127305.0,23483.0
29,Australia,6359,0.0,61.0,0.0,3494.0,2804,79.0,249.0,2.0,362136.0,14201.0
30,Denmark,6318,0.0,285.0,0.0,2235.0,3798,100.0,1091.0,49.0,72099.0,12448.0
31,Czechia,6059,0.0,143.0,0.0,519.0,5397,100.0,566.0,13.0,128359.0,11986.0
32,Pakistan,5496,0.0,93.0,0.0,1095.0,4308,44.0,25.0,0.4,65114.0,295.0
33,Mexico,5014,353.0,332.0,36.0,1964.0,2718,185.0,39.0,3.0,37395.0,290.0
34,Saudi Arabia,4934,0.0,65.0,0.0,805.0,4064,59.0,142.0,2.0,115585.0,3320.0
35,Philippines,4932,0.0,315.0,0.0,242.0,4375,1.0,45.0,3.0,33814.0,309.0
36,Malaysia,4817,0.0,77.0,0.0,2276.0,2464,66.0,149.0,2.0,81730.0,2525.0
37,Indonesia,4557,0.0,399.0,0.0,380.0,3778,0.0,17.0,1.0,27075.0,99.0
38,UAE,4521,0.0,25.0,0.0,852.0,3644,1.0,457.0,3.0,648195.0,65538.0
39,Serbia,4054,0.0,85.0,0.0,400.0,3569,138.0,464.0,10.0,20958.0,2399.0
40,Panama,3472,0.0,94.0,0.0,61.0,3317,106.0,805.0,22.0,15567.0,3608.0
41,Luxembourg,3292,0.0,69.0,0.0,500.0,2723,30.0,5259.0,110.0,29315.0,46831.0
42,Qatar,3231,0.0,7.0,0.0,334.0,2890,37.0,1121.0,2.0,50828.0,17642.0
43,Dominican Republic,3167,0.0,177.0,0.0,152.0,2838,147.0,292.0,16.0,9275.0,855.0
44,Ukraine,3102,0.0,93.0,0.0,97.0,2912,45.0,71.0,2.0,32496.0,743.0
45,Finland,3064,0.0,59.0,0.0,300.0,2705,74.0,553.0,11.0,46000.0,8302.0
46,Belarus,2919,0.0,29.0,0.0,203.0,2687,55.0,309.0,3.0,68000.0,7196.0
47,Singapore,2918,0.0,9.0,0.0,586.0,2323,29.0,499.0,2.0,72680.0,12423.0
48,Colombia,2852,0.0,112.0,0.0,319.0,2421,92.0,56.0,2.0,41765.0,821.0
49,Thailand,2579,0.0,40.0,0.0,1288.0,1251,61.0,37.0,0.6,100498.0,1440.0
50,Argentina,2277,0.0,98.0,0.0,515.0,1664,83.0,50.0,2.0,19758.0,437.0
51,South Africa,2272,0.0,27.0,0.0,410.0,1835,7.0,38.0,0.5,83663.0,1411.0
52,Egypt,2190,0.0,164.0,0.0,589.0,1437,0.0,21.0,2.0,25000.0,244.0
53,Greece,2145,0.0,99.0,0.0,269.0,1777,73.0,206.0,9.0,43417.0,4165.0
54,Algeria,1983,0.0,313.0,0.0,601.0,1069,60.0,45.0,7.0,3359.0,77.0
55,Morocco,1763,0.0,126.0,0.0,203.0,1434,1.0,48.0,3.0,8952.0,243.0
56,Moldova,1712,0.0,35.0,0.0,107.0,1570,80.0,424.0,9.0,6271.0,1555.0
57,Iceland,1711,0.0,8.0,0.0,933.0,770,10.0,5014.0,23.0,35253.0,103308.0
58,Croatia,1650,0.0,25.0,0.0,400.0,1225,34.0,402.0,6.0,17790.0,4333.0
59,Hungary,1458,0.0,109.0,0.0,120.0,1229,58.0,151.0,11.0,34819.0,3604.0
60,Iraq,1378,0.0,78.0,0.0,717.0,583,0.0,34.0,2.0,37791.0,940.0
61,New Zealand,1366,17.0,9.0,4.0,628.0,729,4.0,283.0,2.0,64399.0,13355.0
62,Bahrain,1361,0.0,6.0,0.0,591.0,764,4.0,800.0,4.0,67327.0,39567.0
63,Estonia,1332,0.0,28.0,0.0,102.0,1202,9.0,1004.0,21.0,30764.0,23191.0
64,Kuwait,1300,0.0,2.0,0.0,150.0,1148,26.0,304.0,0.5,0.0,0.0
65,Slovenia,1212,0.0,55.0,0.0,152.0,1005,34.0,583.0,26.0,35405.0,17030.0
66,Azerbaijan,1148,0.0,12.0,0.0,289.0,847,25.0,113.0,1.0,66677.0,6576.0
67,Kazakhstan,1091,0.0,12.0,0.0,138.0,941,21.0,58.0,0.6,69304.0,3691.0
68,Lithuania,1062,0.0,24.0,0.0,101.0,937,14.0,390.0,9.0,41503.0,15246.0
69,Armenia,1039,0.0,14.0,0.0,211.0,814,30.0,351.0,5.0,7631.0,2575.0
70,Bosnia and Herzegovina,1037,0.0,39.0,0.0,206.0,792,4.0,316.0,12.0,11612.0,3539.0
71,Hong Kong,1010,0.0,4.0,0.0,397.0,609,13.0,135.0,0.5,96709.0,12900.0
72,Uzbekistan,998,0.0,4.0,0.0,85.0,909,8.0,30.0,0.1,70000.0,2091.0
73,North Macedonia,854,0.0,38.0,0.0,44.0,772,15.0,410.0,18.0,8552.0,4105.0
74,Cameroon,848,0.0,12.0,0.0,98.0,738,0.0,32.0,0.5,0.0,0.0
75,Bangladesh,803,0.0,39.0,0.0,42.0,722,1.0,5.0,0.2,11223.0,68.0
76,Slovakia,769,0.0,2.0,0.0,107.0,660,5.0,141.0,0.4,28750.0,5266.0
77,Oman,727,0.0,4.0,0.0,124.0,599,3.0,142.0,0.8,0.0,0.0
78,Tunisia,726,0.0,34.0,0.0,43.0,649,89.0,61.0,3.0,11825.0,1001.0
79,Cuba,726,0.0,21.0,0.0,121.0,584,11.0,64.0,2.0,17133.0,1513.0
80,Diamond Princess,712,0.0,12.0,0.0,639.0,61,7.0,0.0,0.0,0.0,0.0
81,Bulgaria,685,0.0,32.0,0.0,71.0,582,36.0,99.0,5.0,18502.0,2663.0
82,Afghanistan,665,0.0,21.0,0.0,32.0,612,0.0,17.0,0.5,0.0,0.0
83,Cyprus,662,0.0,12.0,0.0,65.0,585,8.0,548.0,10.0,17923.0,14845.0
84,Latvia,655,0.0,5.0,0.0,16.0,634,2.0,347.0,3.0,28776.0,15256.0
85,Andorra,646,0.0,29.0,0.0,128.0,489,17.0,8361.0,375.0,1673.0,21653.0
86,Lebanon,632,0.0,20.0,0.0,80.0,532,34.0,93.0,3.0,15408.0,2257.0
87,Ivory Coast,626,0.0,6.0,0.0,89.0,531,0.0,24.0,0.2,0.0,0.0
88,Costa Rica,612,0.0,3.0,0.0,62.0,547,14.0,120.0,0.6,6868.0,1348.0
89,Ghana,566,0.0,8.0,0.0,4.0,554,2.0,18.0,0.3,37954.0,1221.0
90,Niger,548,0.0,13.0,0.0,86.0,449,0.0,23.0,0.5,4399.0,182.0
91,Burkina Faso,515,0.0,27.0,0.0,161.0,327,0.0,25.0,1.0,0.0,0.0
92,Uruguay,483,0.0,8.0,0.0,248.0,227,15.0,139.0,2.0,9236.0,2659.0
93,Albania,467,0.0,23.0,0.0,232.0,212,7.0,162.0,8.0,4070.0,1414.0
94,Channel Islands,436,0.0,9.0,0.0,48.0,379,0.0,2508.0,52.0,3320.0,19095.0
95,Kyrgyzstan,419,0.0,5.0,0.0,67.0,347,5.0,64.0,0.8,9618.0,1474.0
96,Honduras,397,0.0,25.0,0.0,7.0,365,10.0,40.0,3.0,1600.0,162.0
97,Taiwan,393,0.0,6.0,0.0,114.0,273,0.0,17.0,0.3,47215.0,1982.0
98,Jordan,391,0.0,7.0,0.0,215.0,169,5.0,38.0,0.7,20500.0,2009.0
99,Réunion,391,0.0,0.0,0.0,40.0,351,3.0,437.0,0.0,0.0,0.0
100,Malta,384,0.0,3.0,0.0,44.0,337,4.0,870.0,7.0,18065.0,40913.0
101,San Marino,371,0.0,36.0,0.0,53.0,282,15.0,10934.0,1061.0,846.0,24933.0
102,Bolivia,354,24.0,28.0,1.0,6.0,320,3.0,30.0,2.0,2185.0,187.0
103,Nigeria,343,0.0,10.0,0.0,91.0,242,2.0,2.0,0.05,5000.0,24.0
104,Mauritius,324,0.0,9.0,0.0,42.0,273,3.0,255.0,7.0,7077.0,5565.0
105,Guinea,319,0.0,0.0,0.0,17.0,302,0.0,24.0,0.0,0.0,0.0
106,Palestine,308,0.0,2.0,0.0,58.0,248,0.0,60.0,0.4,17329.0,3397.0
107,Djibouti,298,0.0,2.0,0.0,41.0,255,0.0,302.0,2.0,4949.0,5009.0
108,Senegal,291,0.0,2.0,0.0,178.0,111,1.0,17.0,0.1,0.0,0.0
109,Montenegro,274,0.0,3.0,0.0,5.0,266,7.0,436.0,5.0,2869.0,4568.0
110,Georgia,272,0.0,3.0,0.0,68.0,201,6.0,68.0,0.8,3271.0,820.0
111,Vietnam,265,0.0,0.0,0.0,146.0,119,8.0,3.0,0.0,121821.0,1252.0
112,Isle of Man,242,0.0,2.0,0.0,131.0,109,13.0,2846.0,24.0,2030.0,23873.0
113,DRC,235,0.0,20.0,0.0,17.0,198,0.0,3.0,0.2,0.0,0.0
114,Sri Lanka,217,0.0,7.0,0.0,56.0,154,1.0,10.0,0.3,4525.0,211.0
115,Kenya,208,0.0,9.0,0.0,40.0,159,2.0,4.0,0.2,8123.0,151.0
116,Mayotte,207,0.0,3.0,0.0,59.0,145,3.0,759.0,11.0,1400.0,5132.0
117,Venezuela,189,0.0,9.0,0.0,110.0,70,6.0,7.0,0.3,203108.0,7143.0
118,Faeroe Islands,184,0.0,0.0,0.0,157.0,27,0.0,3766.0,0.0,5509.0,112744.0
119,Guatemala,167,11.0,5.0,0.0,19.0,143,3.0,9.0,0.3,1134.0,63.0
120,Martinique,157,0.0,6.0,0.0,50.0,101,19.0,418.0,16.0,0.0,0.0
121,Paraguay,147,0.0,6.0,0.0,22.0,119,1.0,21.0,0.8,3394.0,476.0
122,Guadeloupe,145,0.0,8.0,0.0,67.0,70,13.0,362.0,20.0,0.0,0.0
123,El Salvador,137,0.0,6.0,0.0,22.0,109,2.0,21.0,0.9,6729.0,1037.0
124,Brunei,136,0.0,1.0,0.0,107.0,28,2.0,311.0,2.0,10167.0,23240.0
125,Gibraltar,129,0.0,0.0,0.0,93.0,36,1.0,3829.0,0.0,1649.0,48945.0
126,Rwanda,127,0.0,0.0,0.0,42.0,85,0.0,10.0,0.0,1966.0,152.0
127,Mali,123,0.0,10.0,0.0,26.0,87,0.0,6.0,0.5,0.0,0.0
128,Cambodia,122,0.0,0.0,0.0,77.0,45,1.0,7.0,0.0,5768.0,345.0
129,Trinidad and Tobago,113,0.0,8.0,0.0,16.0,89,0.0,81.0,6.0,1126.0,805.0
130,Madagascar,106,0.0,0.0,0.0,21.0,85,1.0,4.0,0.0,0.0,0.0
131,Monaco,93,0.0,1.0,0.0,6.0,86,5.0,2370.0,25.0,0.0,0.0
132,Aruba,92,0.0,0.0,0.0,32.0,60,1.0,862.0,0.0,1145.0,10724.0
133,French Guiana,86,0.0,0.0,0.0,51.0,35,1.0,288.0,0.0,0.0,0.0
134,Liechtenstein,79,0.0,1.0,0.0,55.0,23,0.0,2072.0,26.0,900.0,23605.0
135,Togo,77,0.0,3.0,0.0,29.0,45,0.0,9.0,0.4,2739.0,331.0
136,Ethiopia,74,0.0,3.0,0.0,14.0,57,0.0,0.6,0.03,4110.0,36.0
137,Jamaica,73,0.0,4.0,0.0,19.0,50,0.0,25.0,1.0,1199.0,405.0
138,Barbados,72,0.0,4.0,0.0,13.0,55,4.0,251.0,14.0,839.0,2920.0
139,Myanmar,62,0.0,4.0,0.0,2.0,56,0.0,1.0,0.07,1406.0,26.0
140,Congo,60,0.0,5.0,0.0,5.0,50,0.0,11.0,0.9,0.0,0.0
141,Somalia,60,0.0,2.0,0.0,2.0,56,2.0,4.0,0.1,0.0,0.0
142,Liberia,59,0.0,6.0,0.0,4.0,49,0.0,12.0,1.0,0.0,0.0
143,Bermuda,57,0.0,5.0,0.0,30.0,22,3.0,915.0,80.0,416.0,6680.0
144,Gabon,57,0.0,1.0,0.0,1.0,55,0.0,26.0,0.4,0.0,0.0
145,French Polynesia,55,0.0,0.0,0.0,0.0,55,1.0,196.0,0.0,920.0,3275.0
146,Cayman Islands,54,0.0,1.0,0.0,6.0,47,3.0,822.0,15.0,580.0,8825.0
147,Uganda,54,0.0,0.0,0.0,7.0,47,0.0,1.0,0.0,5025.0,110.0
148,Sint Maarten,50,0.0,9.0,0.0,5.0,36,2.0,1166.0,210.0,134.0,3125.0
149,Bahamas,49,0.0,8.0,0.0,6.0,35,1.0,125.0,20.0,0.0,0.0
150,Tanzania,49,0.0,3.0,0.0,7.0,39,0.0,0.8,0.05,0.0,0.0
151,Guyana,47,0.0,6.0,0.0,8.0,33,5.0,60.0,8.0,213.0,271.0
152,Zambia,45,0.0,2.0,0.0,30.0,13,1.0,2.0,0.1,1653.0,90.0
153,Macao,45,0.0,0.0,0.0,10.0,35,1.0,69.0,0.0,0.0,0.0
154,Haiti,40,0.0,3.0,0.0,0.0,37,0.0,4.0,0.3,365.0,32.0
155,Guinea-Bissau,38,0.0,0.0,0.0,0.0,38,0.0,19.0,0.0,1500.0,762.0
156,Benin,35,0.0,1.0,0.0,5.0,29,0.0,3.0,0.08,0.0,0.0
157,Eritrea,34,0.0,0.0,0.0,0.0,34,0.0,10.0,0.0,0.0,0.0
158,Saint Martin,32,0.0,2.0,0.0,11.0,19,5.0,828.0,52.0,0.0,0.0
159,Sudan,29,0.0,4.0,0.0,4.0,21,0.0,0.7,0.09,0.0,0.0
160,Libya,26,0.0,1.0,0.0,9.0,16,0.0,4.0,0.1,545.0,79.0
161,Syria,25,0.0,2.0,0.0,5.0,18,0.0,1.0,0.1,0.0,0.0
162,Antigua and Barbuda,23,0.0,2.0,0.0,3.0,18,1.0,235.0,20.0,73.0,745.0
163,Chad,23,0.0,0.0,0.0,2.0,21,0.0,1.0,0.0,0.0,0.0
164,Equatorial Guinea,21,0.0,0.0,0.0,4.0,17,0.0,15.0,0.0,854.0,609.0
165,Mozambique,21,0.0,0.0,0.0,2.0,19,0.0,0.7,0.0,683.0,22.0
166,Maldives,20,0.0,0.0,0.0,14.0,6,0.0,37.0,0.0,0.0,0.0
167,Angola,19,0.0,2.0,0.0,4.0,13,0.0,0.6,0.06,0.0,0.0
168,Laos,19,0.0,0.0,0.0,0.0,19,0.0,3.0,0.0,1140.0,157.0
169,Belize,18,0.0,2.0,0.0,0.0,16,1.0,45.0,5.0,567.0,1426.0
170,New Caledonia,18,0.0,0.0,0.0,1.0,17,0.0,63.0,0.0,2608.0,9135.0
171,Zimbabwe,17,0.0,3.0,0.0,0.0,14,0.0,1.0,0.2,604.0,41.0
172,Mongolia,17,0.0,0.0,0.0,4.0,13,0.0,5.0,0.0,0.0,0.0
173,Malawi,16,0.0,2.0,0.0,0.0,14,1.0,0.8,0.1,314.0,16.0
174,Dominica,16,0.0,0.0,0.0,8.0,8,0.0,222.0,0.0,345.0,4793.0
175,Fiji,16,0.0,0.0,0.0,0.0,16,0.0,18.0,0.0,0.0,0.0
176,Namibia,16,0.0,0.0,0.0,3.0,13,0.0,6.0,0.0,362.0,142.0
177,Saint Lucia,15,0.0,0.0,0.0,4.0,11,0.0,82.0,0.0,0.0,0.0
178,Eswatini,15,0.0,0.0,0.0,7.0,8,0.0,13.0,0.0,714.0,615.0
179,Curaçao,14,0.0,1.0,0.0,8.0,5,0.0,85.0,6.0,0.0,0.0
180,Nepal,14,0.0,0.0,0.0,1.0,13,0.0,0.5,0.0,5184.0,178.0
181,Grenada,14,0.0,0.0,0.0,0.0,14,2.0,124.0,0.0,92.0,818.0
182,Botswana,13,0.0,1.0,0.0,0.0,12,0.0,6.0,0.4,3115.0,1325.0
183,Saint Kitts and Nevis,12,0.0,0.0,0.0,0.0,12,0.0,226.0,0.0,216.0,4060.0
184,St. Vincent Grenadines,12,0.0,0.0,0.0,1.0,11,0.0,108.0,0.0,56.0,505.0
185,CAR,11,0.0,0.0,0.0,3.0,8,0.0,2.0,0.0,0.0,0.0
186,Greenland,11,0.0,0.0,0.0,11.0,0,0.0,194.0,0.0,912.0,16065.0
187,Montserrat,11,0.0,0.0,0.0,1.0,10,1.0,2204.0,0.0,36.0,7212.0
188,Seychelles,11,0.0,0.0,0.0,0.0,11,0.0,112.0,0.0,0.0,0.0
189,Cabo Verde,10,0.0,1.0,0.0,1.0,8,0.0,18.0,2.0,0.0,0.0
190,Suriname,10,0.0,1.0,0.0,6.0,3,0.0,17.0,2.0,0.0,0.0
191,Turks and Caicos,10,0.0,1.0,0.0,0.0,9,0.0,258.0,26.0,69.0,1782.0
192,Sierra Leone,10,0.0,0.0,0.0,0.0,10,0.0,1.0,0.0,0.0,0.0
193,MS Zaandam,9,0.0,2.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
194,Gambia,9,0.0,1.0,0.0,2.0,6,0.0,4.0,0.4,281.0,116.0
195,Nicaragua,9,0.0,1.0,0.0,4.0,4,0.0,1.0,0.2,0.0,0.0
196,Vatican City,8,0.0,0.0,0.0,2.0,6,0.0,9988.0,0.0,0.0,0.0
197,Mauritania,7,0.0,1.0,0.0,2.0,4,0.0,2.0,0.2,527.0,113.0
198,St. Barth,6,0.0,0.0,0.0,4.0,2,0.0,607.0,0.0,0.0,0.0
199,Western Sahara,6,0.0,0.0,0.0,0.0,6,0.0,10.0,0.0,0.0,0.0
200,Burundi,5,0.0,1.0,0.0,0.0,4,0.0,0.4,0.08,0.0,0.0
201,Bhutan,5,0.0,0.0,0.0,2.0,3,0.0,6.0,0.0,1166.0,1511.0
202,Falkland Islands,5,0.0,0.0,0.0,1.0,4,0.0,1437.0,0.0,137.0,39368.0
203,Sao Tome and Principe,4,0.0,0.0,0.0,0.0,4,0.0,18.0,0.0,19.0,87.0
204,South Sudan,4,0.0,0.0,0.0,0.0,4,0.0,0.4,0.0,0.0,0.0
205,Timor-Leste,4,0.0,0.0,0.0,1.0,3,0.0,3.0,0.0,0.0,0.0
206,Anguilla,3,0.0,0.0,0.0,1.0,2,0.0,200.0,0.0,0.0,0.0
207,British Virgin Islands,3,0.0,0.0,0.0,2.0,1,0.0,99.0,0.0,0.0,0.0
208,Caribbean Netherlands,3,0.0,0.0,0.0,0.0,3,0.0,114.0,0.0,10.0,381.0
209,Papua New Guinea,2,0.0,0.0,0.0,0.0,2,0.0,0.2,0.0,72.0,8.0
210,Saint Pierre Miquelon,1,0.0,0.0,0.0,0.0,1,0.0,173.0,0.0,0.0,0.0
211,Yemen,1,0.0,0.0,0.0,0.0,1,0.0,0.03,0.0,0.0,0.0
212,China,82249,89.0,3341.0,0.0,77738.0,1170,116.0,57.0,2.0,0.0,0.0
213,Total:,1924662,814.0,119691.0,73.0,445005.0,1359966,51742.0,246.9,15.4,0.0,0.0
