,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
56,56.0,Afghanistan,6053,0.0,153.0,0.0,745.0,5155.0,19.0,156.0,4.0,20854.0,537.0,38810145.0
57,57.0,Kazakhstan,5850,161.0,34.0,0.0,2707.0,3109.0,31.0,312.0,2.0,505216.0,26948.0,18747746.0
58,58.0,Moldova,5745,0.0,202.0,0.0,2228.0,3315.0,251.0,1424.0,50.0,20447.0,5067.0,4035100.0
59,59.0,Ghana,5638,0.0,28.0,0.0,1460.0,4150.0,5.0,182.0,0.9,171642.0,5539.0,30986096.0
60,60.0,Nigeria,5450,0.0,171.0,0.0,1320.0,3959.0,7.0,27.0,0.8,30657.0,149.0,205444156.0
61,61.0,Oman,5029,404.0,20.0,0.0,1436.0,3573.0,31.0,988.0,4.0,61000.0,11987.0,5088900.0
62,62.0,Armenia,4283,239.0,55.0,3.0,1791.0,2437.0,10.0,1446.0,19.0,39005.0,13166.0,2962559.0
63,63.0,Luxembourg,3923,0.0,104.0,0.0,3682.0,137.0,11.0,6280.0,166.0,59987.0,96034.0,624641.0
64,64.0,Bolivia,3577,205.0,164.0,12.0,434.0,2979.0,3.0,307.0,14.0,7651.0,657.0,11652343.0
65,65.0,Hungary,3473,56.0,448.0,6.0,1371.0,1654.0,45.0,359.0,46.0,131429.0,13601.0,9663324.0
66,66.0,Iraq,3193,0.0,117.0,0.0,2089.0,987.0,0.0,80.0,3.0,140573.0,3505.0,40100844.0
67,67.0,Cameroon,3105,151.0,140.0,1.0,1567.0,1398.0,28.0,117.0,5.0,0.0,0.0,26455880.0
68,68.0,Thailand,3025,0.0,56.0,0.0,2855.0,114.0,61.0,43.0,0.8,286008.0,4099.0,69778286.0
69,69.0,Azerbaijan,2980,0.0,36.0,0.0,1886.0,1058.0,37.0,294.0,4.0,220363.0,21759.0,10127539.0
70,70.0,Greece,2810,0.0,160.0,0.0,1374.0,1276.0,23.0,269.0,15.0,120015.0,11508.0,10429161.0
71,71.0,Uzbekistan,2691,5.0,11.0,0.0,2158.0,522.0,8.0,81.0,0.3,460000.0,13770.0,33405983.0
72,72.0,Guinea,2531,58.0,15.0,0.0,1094.0,1422.0,18.0,193.0,1.0,10304.0,788.0,13083829.0
73,73.0,Honduras,2460,142.0,134.0,1.0,264.0,2062.0,10.0,249.0,14.0,5653.0,572.0,9883952.0
74,74.0,Senegal,2310,0.0,25.0,0.0,890.0,1395.0,6.0,138.0,1.0,24599.0,1474.0,16683471.0
75,75.0,Bosnia and Herzegovina,2236,0.0,128.0,0.0,1336.0,772.0,4.0,681.0,39.0,47149.0,14360.0,3283253.0
76,76.0,Croatia,2222,0.0,95.0,0.0,1869.0,258.0,8.0,541.0,23.0,51568.0,12552.0,4108287.0
77,77.0,Bulgaria,2175,37.0,105.0,3.0,573.0,1497.0,45.0,313.0,15.0,64480.0,9271.0,6954648.0
78,78.0,Ivory Coast,2017,0.0,24.0,0.0,942.0,1051.0,0.0,77.0,0.9,15260.0,580.0,26289372.0
79,79.0,Sudan,1964,0.0,91.0,0.0,205.0,1668.0,0.0,45.0,2.0,0.0,0.0,43710745.0
80,80.0,Cuba,1840,0.0,79.0,0.0,1425.0,336.0,9.0,162.0,7.0,77374.0,6831.0,11327461.0
81,81.0,Iceland,1802,0.0,10.0,0.0,1782.0,10.0,0.0,5285.0,29.0,56219.0,164883.0,340964.0
82,82.0,Estonia,1770,4.0,63.0,0.0,934.0,773.0,5.0,1334.0,47.0,68840.0,51899.0,1326425.0
83,83.0,North Macedonia,1740,0.0,97.0,0.0,1251.0,392.0,21.0,835.0,47.0,20548.0,9863.0,2083384.0
84,84.0,Guatemala,1643,125.0,30.0,1.0,135.0,1478.0,5.0,92.0,2.0,7200.0,403.0,17871637.0
85,85.0,Lithuania,1534,11.0,55.0,1.0,988.0,491.0,17.0,563.0,20.0,224040.0,82166.0,2726669.0
86,86.0,New Zealand,1498,0.0,21.0,0.0,1428.0,49.0,2.0,311.0,4.0,223937.0,46486.0,4817264.0
87,87.0,Slovakia,1493,13.0,28.0,1.0,1151.0,314.0,3.0,273.0,5.0,139986.0,25642.0,5459317.0
88,88.0,Slovenia,1465,0.0,103.0,0.0,270.0,1092.0,7.0,705.0,50.0,67701.0,32566.0,2078903.0
89,89.0,DRC,1370,72.0,61.0,11.0,229.0,1080.0,0.0,15.0,0.7,0.0,0.0,89181925.0
90,90.0,Djibouti,1309,0.0,4.0,0.0,935.0,370.0,0.0,1327.0,4.0,16878.0,17115.0,986127.0
91,91.0,Somalia,1284,0.0,53.0,0.0,135.0,1096.0,2.0,81.0,3.0,0.0,0.0,15832072.0
92,92.0,El Salvador,1265,55.0,25.0,2.0,441.0,799.0,18.0,195.0,4.0,53412.0,8240.0,6482107.0
93,93.0,Mayotte,1258,48.0,16.0,0.0,627.0,615.0,9.0,4626.0,59.0,5200.0,19123.0,271922.0
94,94.0,Gabon,1209,0.0,10.0,0.0,219.0,980.0,11.0,545.0,5.0,7050.0,3178.0,2218621.0
95,95.0,Tajikistan,1118,0.0,33.0,0.0,0.0,1085.0,0.0,118.0,3.0,0.0,0.0,9508770.0
96,96.0,Kyrgyzstan,1117,6.0,14.0,0.0,783.0,320.0,5.0,172.0,2.0,59490.0,9138.0,6510046.0
97,97.0,Hong Kong,1053,0.0,4.0,0.0,1019.0,30.0,1.0,141.0,0.5,168291.0,22471.0,7489265.0
98,98.0,Tunisia,1035,0.0,45.0,0.0,802.0,188.0,3.0,88.0,4.0,37862.0,3208.0,11802774.0
99,99.0,Maldives,1031,0.0,4.0,0.0,49.0,978.0,2.0,1912.0,7.0,11775.0,21834.0,539287.0
100,100.0,Latvia,997,27.0,19.0,0.0,662.0,316.0,3.0,528.0,10.0,87377.0,46265.0,1888633.0
101,101.0,Sri Lanka,935,0.0,9.0,0.0,520.0,406.0,1.0,44.0,0.4,42056.0,1965.0,21402049.0
102,102.0,Albania,916,0.0,31.0,0.0,705.0,180.0,1.0,318.0,11.0,11458.0,3981.0,2878180.0
103,103.0,Guinea-Bissau,913,0.0,3.0,0.0,26.0,884.0,0.0,465.0,2.0,1500.0,765.0,1961700.0
104,104.0,Cyprus,910,0.0,17.0,0.0,481.0,412.0,10.0,754.0,14.0,81942.0,67931.0,1206248.0
105,105.0,Lebanon,891,0.0,26.0,0.0,246.0,619.0,4.0,130.0,4.0,57715.0,8451.0,6829118.0
106,106.0,Niger,885,0.0,51.0,0.0,684.0,150.0,0.0,37.0,2.0,5749.0,239.0,24081508.0
107,107.0,Costa Rica,843,0.0,10.0,1.0,542.0,291.0,5.0,166.0,2.0,18655.0,3666.0,5088192.0
108,108.0,Mali,806,0.0,46.0,0.0,455.0,305.0,0.0,40.0,2.0,2498.0,124.0,20170087.0
109,109.0,Kenya,781,0.0,45.0,0.0,284.0,452.0,1.0,15.0,0.8,36918.0,689.0,53611938.0
110,110.0,Burkina Faso,780,0.0,51.0,0.0,595.0,134.0,0.0,37.0,2.0,0.0,0.0,20824384.0
111,111.0,Andorra,761,0.0,49.0,0.0,604.0,108.0,3.0,9851.0,634.0,3750.0,48544.0,77250.0
112,112.0,Paraguay,759,0.0,11.0,0.0,193.0,555.0,0.0,107.0,2.0,18856.0,2648.0,7121225.0
113,113.0,Uruguay,732,0.0,19.0,0.0,553.0,160.0,7.0,211.0,5.0,32225.0,9281.0,3472233.0
114,114.0,Diamond Princess,712,0.0,13.0,0.0,651.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0
115,115.0,Georgia,677,6.0,12.0,0.0,419.0,246.0,6.0,170.0,3.0,36248.0,9084.0,3990097.0
116,116.0,Zambia,668,14.0,7.0,0.0,152.0,509.0,1.0,36.0,0.4,15811.0,863.0,18312920.0
117,117.0,San Marino,652,0.0,41.0,0.0,189.0,422.0,1.0,19221.0,1209.0,3394.0,100053.0,33922.0
118,118.0,Jordan,596,0.0,9.0,0.0,401.0,186.0,5.0,58.0,0.9,136229.0,13369.0,10190185.0
119,119.0,Equatorial Guinea,594,0.0,7.0,0.0,22.0,565.0,0.0,425.0,5.0,854.0,612.0,1396494.0
120,120.0,Channel Islands,549,0.0,43.0,0.0,457.0,49.0,0.0,3161.0,248.0,5342.0,30761.0,173659.0
121,121.0,Malta,546,14.0,6.0,0.0,450.0,90.0,1.0,1237.0,14.0,47504.0,107622.0,441397.0
122,122.0,Jamaica,511,2.0,9.0,0.0,121.0,381.0,0.0,173.0,3.0,7946.0,2685.0,2959554.0
123,123.0,Tanzania,509,0.0,21.0,0.0,183.0,305.0,7.0,9.0,0.4,0.0,0.0,59498998.0
124,124.0,Venezuela,459,0.0,10.0,0.0,229.0,220.0,1.0,16.0,0.4,540236.0,18992.0,28445691.0
125,125.0,Sierra Leone,447,0.0,27.0,0.0,97.0,323.0,0.0,56.0,3.0,0.0,0.0,7955312.0
126,126.0,Réunion,441,0.0,0.0,0.0,354.0,87.0,4.0,493.0,0.0,17200.0,19229.0,894505.0
127,127.0,Taiwan,440,0.0,7.0,0.0,389.0,44.0,0.0,18.0,0.3,68988.0,2897.0,23811452.0
128,128.0,Chad,428,0.0,48.0,0.0,88.0,292.0,0.0,26.0,3.0,0.0,0.0,16360644.0
129,129.0,Congo,391,0.0,15.0,0.0,87.0,289.0,0.0,71.0,3.0,0.0,0.0,5499613.0
130,130.0,Palestine,375,0.0,2.0,0.0,315.0,58.0,0.0,74.0,0.4,44876.0,8825.0,5085377.0
131,131.0,Benin,339,0.0,2.0,0.0,83.0,254.0,0.0,28.0,0.2,25471.0,2109.0,12079722.0
132,132.0,Isle of Man,334,0.0,24.0,0.0,285.0,25.0,10.0,3930.0,282.0,4032.0,47448.0,84977.0
133,133.0,Mauritius,332,0.0,10.0,0.0,322.0,0.0,0.0,261.0,8.0,69773.0,54874.0,1271508.0
134,134.0,Cabo Verde,326,0.0,2.0,0.0,67.0,257.0,0.0,587.0,4.0,791.0,1425.0,555212.0
135,135.0,Montenegro,324,0.0,9.0,0.0,311.0,4.0,2.0,516.0,14.0,10167.0,16188.0,628056.0
136,136.0,Vietnam,314,0.0,0.0,0.0,260.0,54.0,2.0,3.0,0.0,275000.0,2828.0,97227060.0
137,137.0,Haiti,310,37.0,20.0,0.0,29.0,261.0,0.0,27.0,2.0,1669.0,147.0,11384587.0
138,138.0,CAR,301,0.0,0.0,0.0,13.0,288.0,0.0,62.0,0.0,3498.0,726.0,4818688.0
139,139.0,Ethiopia,287,0.0,5.0,0.0,112.0,170.0,0.0,3.0,0.04,48985.0,428.0,114576005.0
140,140.0,Rwanda,287,0.0,0.0,0.0,177.0,110.0,0.0,22.0,0.0,46198.0,3579.0,12908515.0
141,141.0,Nepal,276,9.0,0.0,0.0,36.0,240.0,0.0,9.0,0.0,87014.0,2994.0,29067490.0
142,142.0,Togo,263,0.0,11.0,0.0,96.0,156.0,0.0,32.0,1.0,12040.0,1459.0,8252463.0
143,143.0,Madagascar,238,0.0,0.0,0.0,112.0,126.0,1.0,9.0,0.0,5670.0,205.0,27593744.0
144,144.0,South Sudan,236,0.0,4.0,0.0,4.0,228.0,0.0,21.0,0.4,3356.0,300.0,11176820.0
145,145.0,Sao Tome and Principe,235,0.0,7.0,0.0,4.0,224.0,0.0,1075.0,32.0,175.0,800.0,218619.0
146,146.0,Liberia,219,0.0,20.0,0.0,108.0,91.0,0.0,43.0,4.0,0.0,0.0,5041588.0
147,147.0,Uganda,203,0.0,0.0,0.0,63.0,140.0,0.0,4.0,0.0,70117.0,1540.0,45538682.0
148,148.0,Martinique,192,0.0,14.0,0.0,91.0,87.0,0.0,512.0,37.0,0.0,0.0,375301.0
149,149.0,Eswatini,190,0.0,2.0,0.0,66.0,122.0,0.0,164.0,2.0,4160.0,3590.0,1158626.0
150,150.0,French Guiana,189,0.0,1.0,0.0,124.0,64.0,0.0,635.0,3.0,0.0,0.0,297623.0
151,151.0,Faeroe Islands,187,0.0,0.0,0.0,187.0,0.0,0.0,3829.0,0.0,8779.0,179750.0,48840.0
152,152.0,Myanmar,182,1.0,6.0,0.0,89.0,87.0,0.0,3.0,0.1,13634.0,251.0,54363807.0
153,153.0,Guadeloupe,155,0.0,13.0,0.0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,400116.0
154,154.0,Gibraltar,147,0.0,0.0,0.0,144.0,3.0,0.0,4363.0,0.0,4941.0,146652.0,33692.0
155,155.0,Brunei,141,0.0,1.0,0.0,136.0,4.0,2.0,323.0,2.0,16892.0,38659.0,436944.0
156,156.0,Mongolia,135,37.0,0.0,0.0,20.0,115.0,2.0,41.0,0.0,10162.0,3106.0,3271362.0
157,157.0,Bermuda,122,0.0,9.0,0.0,66.0,47.0,2.0,1958.0,144.0,4691.0,75290.0,62306.0
158,158.0,Cambodia,122,0.0,0.0,0.0,122.0,0.0,0.0,7.0,0.0,14684.0,880.0,16688891.0
159,159.0,Mozambique,119,0.0,0.0,0.0,42.0,77.0,0.0,4.0,0.0,5361.0,172.0,31134613.0
160,160.0,Guyana,116,0.0,10.0,0.0,43.0,63.0,3.0,148.0,13.0,1065.0,1355.0,786077.0
161,161.0,Trinidad and Tobago,116,0.0,8.0,0.0,107.0,1.0,0.0,83.0,6.0,2597.0,1856.0,1398925.0
162,162.0,Yemen,106,0.0,15.0,0.0,1.0,90.0,0.0,4.0,0.5,120.0,4.0,29737584.0
163,163.0,Aruba,101,0.0,3.0,0.0,93.0,5.0,4.0,946.0,28.0,1937.0,18152.0,106709.0
164,164.0,Bahamas,96,0.0,11.0,0.0,41.0,44.0,1.0,244.0,28.0,1700.0,4328.0,392764.0
165,165.0,Monaco,96,0.0,4.0,0.0,87.0,5.0,1.0,2449.0,102.0,0.0,0.0,39207.0
166,166.0,Cayman Islands,94,0.0,1.0,0.0,55.0,38.0,3.0,1432.0,15.0,5900.0,89908.0,65623.0
167,167.0,Barbados,85,0.0,7.0,0.0,65.0,13.0,4.0,296.0,24.0,3651.0,12707.0,287332.0
168,168.0,Liechtenstein,82,0.0,1.0,0.0,55.0,26.0,0.0,2151.0,26.0,900.0,23613.0,38114.0
169,169.0,Sint Maarten,76,0.0,15.0,0.0,46.0,15.0,7.0,1775.0,350.0,329.0,7685.0,42813.0
170,170.0,Libya,64,0.0,3.0,0.0,28.0,33.0,0.0,9.0,0.4,3633.0,530.0,6859160.0
171,171.0,Malawi,63,0.0,3.0,0.0,24.0,36.0,1.0,3.0,0.2,1363.0,72.0,19062368.0
172,172.0,French Polynesia,60,0.0,0.0,0.0,59.0,1.0,0.0,214.0,0.0,3216.0,11457.0,280704.0
173,173.0,Syria,50,0.0,3.0,0.0,36.0,11.0,0.0,3.0,0.2,0.0,0.0,17442911.0
174,174.0,Angola,48,0.0,2.0,0.0,17.0,29.0,0.0,1.0,0.06,6136.0,188.0,32723364.0
175,175.0,Macao,45,0.0,0.0,0.0,43.0,2.0,1.0,69.0,0.0,0.0,0.0,648186.0
176,176.0,Zimbabwe,42,0.0,4.0,0.0,13.0,25.0,0.0,3.0,0.3,25478.0,1717.0,14834717.0
177,177.0,Saint Martin,39,0.0,3.0,0.0,30.0,6.0,1.0,1011.0,78.0,0.0,0.0,38579.0
178,178.0,Eritrea,39,0.0,0.0,0.0,39.0,0.0,0.0,11.0,0.0,0.0,0.0,3540041.0
179,179.0,Mauritania,29,0.0,3.0,0.0,7.0,19.0,0.0,6.0,0.6,2015.0,435.0,4632917.0
180,180.0,Nicaragua,25,0.0,8.0,0.0,7.0,10.0,0.0,4.0,1.0,0.0,0.0,6614394.0
181,181.0,Antigua and Barbuda,25,0.0,3.0,0.0,19.0,3.0,1.0,256.0,31.0,183.0,1871.0,97826.0
182,182.0,Botswana,24,0.0,1.0,0.0,17.0,6.0,0.0,10.0,0.4,11495.0,4901.0,2345288.0
183,183.0,Timor-Leste,24,0.0,0.0,0.0,24.0,0.0,0.0,18.0,0.0,738.0,561.0,1315109.0
184,184.0,Gambia,23,0.0,1.0,0.0,12.0,10.0,0.0,10.0,0.4,1341.0,557.0,2407297.0
185,185.0,Grenada,22,0.0,0.0,0.0,14.0,8.0,4.0,196.0,0.0,2419.0,21510.0,112458.0
186,186.0,Bhutan,21,0.0,0.0,0.0,5.0,16.0,0.0,27.0,0.0,13660.0,17728.0,770517.0
187,187.0,Laos,19,0.0,0.0,0.0,14.0,5.0,0.0,3.0,0.0,4424.0,609.0,7261799.0
188,188.0,Belize,18,0.0,2.0,0.0,16.0,0.0,0.0,45.0,5.0,1043.0,2629.0,396673.0
189,189.0,Fiji,18,0.0,0.0,0.0,15.0,3.0,0.0,20.0,0.0,1300.0,1452.0,895624.0
190,190.0,New Caledonia,18,0.0,0.0,0.0,18.0,0.0,0.0,63.0,0.0,5454.0,19127.0,285148.0
191,191.0,Saint Lucia,18,0.0,0.0,0.0,18.0,0.0,0.0,98.0,0.0,727.0,3961.0,183522.0
192,192.0,St. Vincent Grenadines,17,0.0,0.0,0.0,14.0,3.0,0.0,153.0,0.0,155.0,1398.0,110896.0
193,193.0,Curaçao,16,0.0,1.0,0.0,14.0,1.0,0.0,98.0,6.0,389.0,2372.0,164009.0
194,194.0,Dominica,16,0.0,0.0,0.0,15.0,1.0,0.0,222.0,0.0,420.0,5836.0,71964.0
195,195.0,Namibia,16,0.0,0.0,0.0,13.0,3.0,0.0,6.0,0.0,2074.0,818.0,2534815.0
196,196.0,Burundi,15,0.0,1.0,0.0,7.0,7.0,0.0,1.0,0.08,284.0,24.0,11841556.0
197,197.0,Saint Kitts and Nevis,15,0.0,0.0,0.0,14.0,1.0,0.0,282.0,0.0,327.0,6152.0,53151.0
198,198.0,Falkland Islands,13,0.0,0.0,0.0,13.0,0.0,0.0,3751.0,0.0,402.0,115984.0,3466.0
199,199.0,Turks and Caicos,12,0.0,1.0,0.0,10.0,1.0,0.0,310.0,26.0,109.0,2820.0,38649.0
200,200.0,Vatican City,12,0.0,0.0,0.0,2.0,10.0,0.0,14981.0,0.0,0.0,0.0,801.0
201,201.0,Comoros,11,0.0,1.0,0.0,3.0,7.0,0.0,13.0,1.0,0.0,0.0,867116.0
202,202.0,Montserrat,11,0.0,1.0,0.0,10.0,0.0,0.0,2204.0,200.0,36.0,7212.0,4992.0
203,203.0,Greenland,11,0.0,0.0,0.0,11.0,0.0,0.0,194.0,0.0,1629.0,28701.0,56758.0
204,204.0,Seychelles,11,0.0,0.0,0.0,10.0,1.0,0.0,112.0,0.0,0.0,0.0,98270.0
205,205.0,Suriname,10,0.0,1.0,0.0,9.0,0.0,0.0,17.0,2.0,404.0,689.0,585963.0
206,206.0,MS Zaandam,9,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
207,207.0,British Virgin Islands,8,0.0,1.0,0.0,6.0,1.0,0.0,265.0,33.0,167.0,5529.0,30206.0
208,208.0,Papua New Guinea,8,0.0,0.0,0.0,8.0,0.0,0.0,0.9,0.0,2402.0,269.0,8924516.0
209,209.0,Caribbean Netherlands,6,0.0,0.0,0.0,6.0,0.0,0.0,229.0,0.0,357.0,13630.0,26192.0
210,210.0,St. Barth,6,0.0,0.0,0.0,6.0,0.0,0.0,608.0,0.0,0.0,0.0,9873.0
211,211.0,Western Sahara,6,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,595342.0
212,212.0,Anguilla,3,0.0,0.0,0.0,3.0,0.0,0.0,200.0,0.0,0.0,0.0,14986.0
213,213.0,Lesotho,1,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,2140096.0
214,214.0,Saint Pierre Miquelon,1,0.0,0.0,0.0,1.0,0.0,0.0,173.0,0.0,0.0,0.0,5797.0
215,215.0,China,82941,8.0,4633.0,0.0,78219.0,89.0,11.0,58.0,3.0,0.0,0.0,1439323776.0
216,0.0,Total:,4644976,23562.0,308964.0,810.0,1769897.0,2566115.0,44966.0,595.9,39.6,0.0,0.0,0.0
